Ticker,MarketCap
DLO,2314889984
PSEC,2301846784
WAFD,2295897344
CENT,2295888896
CENTA,2295887616
PYCR,2288216320
CMPR,2280655104
RKLB,2276643584
WERN,2273348864
MYRG,2270537984
IART,2263915264
MYGN,2258174720
TXG,2244525056
LAUR,2242062080
RXST,2236851968
ARHS,2231676160
UFPT,2226283008
CERT,2226039296
APPN,2224315904
NTLA,2214110464
RNW,2213772544
CRTO,2210245632
VCEL,2182702336
SFNC,2170855680
PPBI,2162958592
GSHD,2158596608
JAMF,2156040704
GO,2146027776
DRVN,2142884864
GPCR,2136451328
GDS,2130602112
ADUS,2124026240
STAA,2117796096
APGE,2113792512
FTRE,2097607680
PDCO,2097463936
HELE,2090154624
SMTC,2087011712
FFBC,2083887488
ROCK,2083822720
AMRX,2083394304
LGIH,2081472768
INDB,2079550336
QDEL,2076795520
IOVA,2067965824
EVCM,2062047616
NEXT,2061372032
PTVE,2058421888
CGON,2054517376
INDV,2051630592
PLMR,2050439808
PAYO,2042662144
SPT,2041587200
TOWN,2041519104
TTMI,2034502272
USLM,2032971264
UPST,2027345408
JBLU,2027204608
WB,2024380800
PTGX,2023497472
PRVA,2022440192
FOXF,2014204800
JANX,1996251904
NSSC,1993332864
GTX,1984192128
FLYW,1983490048
PLUS,1979347584
SBCF,1974741120
VRNT,1974237184
RXRX,1972982528
TBBK,1957740928
LFST,1938200192
BTSG,1937629312
VEON,1936895232
BEAM,1932664704
PINC,1931458688
SPNS,1926696704
FRME,1920925440
HPK,1908875136
VERA,1908524800
MGNI,1907126912
HWKN,1903383680
AVPT,1897369600
CAKE,1896671744
VITL,1893320960
YY,1892381312
PAX,1888491520
AMPH,1885661184
MLKN,1879802112
PSNYW,1878485376
PSNY,1878482304
HTLF,1878079360
IBTX,1874400768
CENX,1871623040
MBIN,1864961536
TFIN,1857908864
KYMR,1850566272
NVAX,1848589952
PLUG,1834120704
GCMG,1829555200
EVO,1825010688
LMAT,1824867968
VSAT,1823725824
STGW,1821579264
RCKT,1818367488
NWLI,1815464704
NVCR,1815397632
ASTH,1814012672
PROK,1811824256
LILA,1810219648
LILAK,1810217472
CPRX,1808340736
POWL,1805961984
TRMK,1803004928
IMCR,1801417856
NAMS,1799715968
CORZ,1799164032
NBTB,1795445376
MXL,1787251968
SONO,1784522624
MRVI,1760955648
HURN,1758986624
HRMY,1754301696
NEO,1753485696
ENLT,1751750656
WULF,1740025344
MRCY,1727562112
HLMN,1717319168
ZLAB,1709951104
EWTX,1707543936
SNDX,1706541056
DNUT,1704183296
BMBL,1692097152
CNXN,1679084928
EXTR,1669831808
BANR,1666322304
GLPG,1659772160
BLMN,1659482112
ANDE,1655160832
BTDR,1643979648
VCYT,1641340544
UPBD,1638882048
WSBC,1637703424
ARVN,1635522432
EXPI,1627442048
CHEF,1625469312
VSEC,1623973632
RUM,1622017408
NAVI,1612516480
OSW,1606312832
MIRM,1596866048
PLAB,1594695680
MORF,1594479232
MGPI,1594098944
HEES,1590037632
ROIC,1584253312
COCO,1578649472
VIAV,1578292736
COHU,1571256448
HPH,1568665856
THRM,1565473280
BLBD,1561338496
CHCO,1557644160
NMRA,1556954240
IAS,1554065920
HOLI,1553748480
SLNO,1549280384
LKFN,1545251072
LZ,1535679360
ARRY,1534384512
CLBK,1533443456
OCSL,1529430912
KURA,1528182784
KROS,1521657984
ALHC,1520024064
AKRO,1516481408
AFYA,1509293440
PLAY,1502496384
PWP,1487216000
VICR,1485635712
LGND,1485597952
NVEE,1483808256
ACMR,1480145280
INMD,1479141888
MRTN,1478360320
EFSC,1478297728
INFN,1471882496
PZZA,1470894336
OXLC,1467313024
UPWK,1462390400
KALU,1461939456
SDGR,1460855936
HUT,1460734720
STER,1455908224
NWBI,1453354880
CASH,1452048640
SYBT,1448163584
DVAX,1442429952
XRX,1441938688
CIFR,1441634816
SEDG,1438011392
SKWD,1433420800
SUPN,1429881600
TLRY,1428706688
ODP,1421796992
AVDL,1397815040
PRDO,1397335296
ATEC,1396042240
HLIT,1392676864
PDFS,1385221504
APOG,1375170560
SGML,1375030656
DSGR,1374709888
MNKD,1369749504
MTTR,1365446528
BLTE,1363093760
HIMX,1362847232
MRX,1361123712
KNSA,1357672064
BCYC,1348593920
NTCT,1346185856
ICHR,1346037760
BUSE,1345051648
NMFC,1336273920
FBNC,1323210240
BCRX,1322876544
UDMY,1322818560
SYRE,1308154624
GCT,1307174272
WKME,1305243264
SRCE,1296974464
SOUN,1293638016
AHCO,1292059392
IMKTA,1291998976
CLMT,1286217600
WABC,1285098496
TCBK,1275223936
ANIP,1274884480
VRNA,1273795072
HOPE,1267663616
DMLP,1259583872
STBA,1255284608
AILE,1253140224
MCRI,1252836224
PTON,1249643136
QQQX,1247036544
OPEN,1244836736
ARDX,1244757632
GOGO,1243086848
LBPH,1240663936
WINA,1233438720
OMCL,1228912896
ACDC,1225109760
CSWC,1222923520
CRCT,1222266880
TASK,1220600320
IMTX,1218086400
ADEA,1210938112
TRUP,1210190336
SGH,1208060672
AMWD,1207407744
ESTA,1203222144
CSGS,1196345728
CRAI,1192526080
VIR,1191876992
GIII,1190829696
NRIX,1185320192
NRDS,1183170944
DAWN,1179763712
DCBO,1175272064
TBLA,1165687552
HDL,1161828096
SANA,1156245632
XNCR,1147540992
OPRA,1144594688
MOMO,1140098944
VBTX,1135218816
NYMTN,1130896640
TRNS,1121815808
SEAT,1115091200
ARQT,1111334400
SAFT,1110519424
JBSS,1104073088
FORTY,1103341056
IRON,1098385152
TARS,1093024640
ULCC,1088435968
ATRC,1086182656
SASR,1085979776
AOSL,1085498240
PLYA,1081429760
SCSC,1081027456
PRTA,1079200000
FDMT,1078015872
CRSR,1077505152
SILK,1072491328
ULH,1071377280
HTZ,1070345472
GSM,1059671360
COLL,1058667136
CALT,1052776256
ADV,1047084992
PEBO,1042807808
HIBB,1041268224
CSIQ,1040269440
BITF,1037016512
OCUL,1036207360
AMPL,1035648512
PUBM,1032073792
SABR,1031216448
INDI,1029188160
SHLS,1027632640
TRS,1026479168
RBCAA,1023993536
GABC,1023766720
INVA,1019723584
ELVN,1013640832
PCRX,1008188544
MDXG,1006659328
GYRE,1002178368
MFIC,1001638208
PFBC,1000166848
OLPX,992644480
CECO,990072064
SCVL,988833728
CVII,987063168
SCHL,985789248
ECPG,983243200
NN,981912704
QCRH,980143424
EYE,976513280
CMCO,972538240
IRWD,971227264
FWRG,970186048
CNTA,969917504
GPRE,969280512
CGEM,967101888
PGY,967078784
SSRM,963316480
AMSC,960103296
IMOS,957047808
FIP,955923584
SDA,953469568
HTLD,953356352
KARO,950174976
JACK,942358848
MSEX,940280384
TCPC,934654848
CPLP,930711168
AUTL,928465664
ANGI,928222720
APLD,928126400
CGBD,924975104
BLFS,922758080
ATSG,920130432
SHEN,918027712
RPAY,916936192
XPEL,915234752
PHVS,914883904
EH,914566528
COGT,914107456
LQDA,913909056
OCFC,912407808
ALGT,906327616
