Ticker,MarketCap
FIVN,3175585536
GT,3171413248
AMED,3169659392
CORT,3149908480
MLCO,3147091456
VCTR,3137135872
ARWR,3132323840
VLYPO,3102814208
KTOS,3074007040
SHOO,3072345088
CALM,3055576576
IOSP,3053818368
HCM,3041047296
DNLI,3038997504
NWE,3011000832
FLNC,3010265088
FULT,3005417984
IDCC,2997220352
PCH,2995471360
SGRY,2991157248
UCBI,2986864896
BL,2985162240
VC,2978777088
ALKT,2950819072
ACVA,2948471808
WDFC,2939423488
SITM,2933498368
IESC,2922351616
FOLD,2919041024
FIBK,2913264640
IRTC,2911751424
TGTX,2903863296
GDRX,2897562880
ROAD,2891243520
PENN,2886702080
ACLX,2885930240
NARI,2880747776
SBLK,2871451392
BANF,2870546944
GOGL,2868202240
MQ,2859724032
ICUI,2859593728
PLXS,2857574656
AGYS,2852491520
LIVN,2849462272
AZTA,2838830080
TCBI,2838374656
CVCO,2813010176
TWST,2804164096
WSFS,2797361664
DORM,2785085440
SWTX,2766756608
MOR,2746298624
PLTK,2742635776
SIMO,2741682176
NMIH,2740595200
RIOT,2733349888
CSQ,2731101184
BHF,2723437568
KLIC,2720771840
INTA,2711053824
XENE,2708578560
PGNY,2704268032
MGEE,2703786752
HUBG,2702960896
VECO,2695388160
CCOI,2689968896
VLYPP,2689680384
STRA,2686756096
CATY,2676620544
FTDR,2664317952
CARG,2657937920
FHB,2643133184
RPD,2637572864
PRFT,2630360576
HOVNP,2624588288
RUN,2620056576
IREN,2619370752
INTR,2608898048
MLTX,2608352768
NWL,2605135360
ADMA,2602055936
ATAT,2600545536
ACAD,2572490752
WBTN,2569441536
MGRC,2561648896
GERN,2559368960
AY,2558402048
ENVX,2539799808
TNDM,2539659008
ARCB,2539282432
RYTM,2533423872
ASTS,2527619584
ICFI,2525131776
IDYA,2521498880
BATRA,2513209856
BATRK,2511918336
CLBT,2504623360
ZD,2484920576
NMRK,2479277568
AVDX,2476112896
EBC,2472834048
PATK,2444563712
PSMT,2444421632
TRIP,2432525312
LION,2424920320
SNEX,2420810496
RELY,2408899584
CLDX,2375414528
LIF,2372364032
CVBF,2368294400
AGIO,2366298624
BWIN,2365888512
PRGS,2353225472
AMBA,2349681664
FA,2340591872
OSIS,2332262144
PTCT,2330812672
UCTT,2320961536
ODD,2320110080
DLO,2313445120
RKLB,2303746560
PSEC,2296624640
PYCR,2295344896
WAFD,2294269184
CENTA,2292141312
CENT,2287733248
WERN,2280324352
MYGN,2264510208
MYRG,2256706560
LAUR,2249819904
CMPR,2248332288
ARHS,2247115520
IART,2246973184
TXG,2239736576
APPN,2228650496
CERT,2221214208
RXST,2218404352
CRTO,2196640512
RNW,2195507200
JAMF,2188286464
NTLA,2182273536
